marker,chr,pos
UNC011335784,1,53.943697
JAX00003808,1,53.970534
UNC011342783,1,54.837229
backupJAX00251301,1,54.855699
UNC011347842,1,55.626163
JAX00251477,1,55.631217
JAX00003976,1,56.189788
UNC010729195,1,56.371803
backupUNC011355063,1,56.74756
backupUNC012316368,1,56.944324
JAX00251867,1,57.027315
UNC010731340,1,57.358576
backuprs51918679,1,57.670978
UNC010100349,1,57.887328
backupUNC010101265,1,58.376427
backupJAX00252178,1,58.523233
UNC010101768,1,58.897358
backupJAX00252274,1,59.129495
JAX00252404,1,59.43931
backupUNC010733471,1,59.755217
JAX00191860,1,60.056756
backupJAX00004293,1,60.38465
JAX00252732,1,61.23198
backupUNC010737916,1,61.47504
JAX00252788,1,61.534902
backupUNC010738940,1,61.784601
backupUNC010739171,1,62.341009
UNC010446561,1,62.634575
UNC010739232,1,62.715356
UNC_rs31392164,1,63.144761
UNC010104462,1,63.45848
UNC010486741,1,63.997259
UNC010106429,1,64.657833
JAX00253431,1,65.168224
UNC010107618,1,65.575467
UNC010108618,1,65.68843
UNC010113351,1,66.196962
UNC010114763,1,66.34574
UNC010564849,1,66.626699
backupUNC010132013,1,68.348787
UNC010132979,1,68.430297
UNC010135944,1,68.758373
UNC010138697,1,69.114794
JAX00254177,1,69.711252
JAX00005015,1,70.080595
JAX00005062,1,70.692165
backupJAX00254338,1,70.699363
JAX00254428,1,71.310835
backupUNC010568212,1,72.274989
backupUNC010570475,1,72.830096
JAX00254862,1,73.114671
JAX00255136,1,73.991793
UNC010142203,1,74.066657
UNC010573492,1,74.377483
UNC010489002,1,74.847203
UNC010756120,1,74.993784
JAX00255494,1,75.558677
UNC012239416,1,75.680004
JAX00255657,1,76.022068
backupJAX00005508,1,76.703258
UNC010577197,1,77.099961
UNC010577570,1,77.303061
backupUNC011478119,1,77.45011
UNC010148938,1,77.710341
backupUNC012359359,1,78.236068
backupJAX00256554,1,79.246909
JAX00256624,1,79.578414
JAX00005772,1,80.207911
JAX00256873,1,80.542881
UNC010157073,1,80.762764
backupUNC011498669,1,81.074737
backupUNC010158882,1,81.388723
JAX00257146,1,81.953799
backupJAX00257246,1,82.268759
JAX00005951,1,82.603326
JAX00005952,1,82.619925
JAX00005967,1,82.809403
JAX00257467,1,83.228158
UNC011510234,1,83.647988
UNC010584488,1,83.834234
JAX00006066,1,84.142411
JAX00257649,1,84.349356
UNC010161536,1,84.722076
backupJAX00257750,1,84.951529
UNC010767722,1,85.753042
UNC010162950,1,86.180674
UNC010163719,1,86.487946
JAX00258010,1,86.623184
UNC010584825,1,87.175438
UNC010585017,1,88.137883
backupJAX00258310,1,88.562054
UNC010171079,1,89.538173
JAX00258593,1,89.773344
backupUNC010171549,1,90.008973
UNC010172585,1,90.618878
backupUNC010175313,1,91.10076
backupUNC010176060,1,91.347566
UNC010176664,1,91.738612
UNC010892229,1,92.282953
backupUNC010586755,1,92.323946
JAX00006720,1,93.119799
UNC010177125,1,93.36149
UNC010586869,1,93.673229
JAX00259682,1,94.081116
UNC010178377,1,94.949715
UNC010181577,1,96.148874
JAX00006950,1,96.23835
backupUNC011588125,1,96.768114
JAX00260168,1,97.371418
JAX00260238,1,97.787538
backupUNC010185117,1,97.788656
backupUNC011596719,1,98.494836
UNC010494226,1,99.033537
UNC010191507,1,99.897065
UNC010192579,1,100.326754
backupUNC010194594,1,100.661498
UNC010195425,1,100.927997
backupUNC010197325,1,101.439138
UNC010587748,1,102.351823
JAX00261137,1,102.360367
UNC010200282,1,102.586134
UNC010200461,1,103.123529
UNC010203492,1,104.886216
backupUNC010204314,1,105.10764
UNC010204610,1,105.27916
UNC010893064,1,105.670227
JAX00007674,1,105.892142
backupUNC010206009,1,106.467053
JAX00261951,1,106.74883
backupUNC010591240,1,107.049186
backupUNC010207769,1,107.715135
UNC011675366,1,108.005534
backupUNC010210288,1,108.346589
JAX00007883,1,108.671729
backuprs50592964,1,109.946339
backupJAX00262611,1,110.452749
JAX00262675,1,110.842326
JAX00008061,1,111.029605
UNC010456529,1,111.989164
UNC010223906,1,112.160786
backupUNC010794120,1,112.757927
UNC010456754,1,113.566935
JAX00008339,1,114.756058
UNC010457067,1,115.097619
UNC010227990,1,115.285872
JAX00008386,1,115.407671
backupUNC010228438,1,115.892001
UNC010594638,1,116.34717
UNC010598421,1,117.514347
UNC010498389,1,118.67262
backupUNC010236642,1,118.715542
JAX00264109,1,119.257335
backupUNC010894728,1,119.865405
UNC010458425,1,121.353007
UNC010243790,1,121.591505
backupUNC010244211,1,121.803874
UNC010897473,1,122.271527
JAX00008892,1,122.403572
backupUNC010248154,1,123.301336
backupJAX00265198,1,123.607687
UNC011787714,1,124.403371
JAX00265502,1,124.921759
backupUNC011792382,1,125.215446
UNC010255921,1,125.500908
UNC010257353,1,125.823267
JAX00265821,1,126.133829
UNC010259898,1,126.359067
UNC010500125,1,126.645037
UNC010261606,1,127.006951
JAX00009281,1,127.556255
JAX00266341,1,128.456191
UNC010460280,1,128.618944
JAX00266494,1,129.134427
UNC011819339,1,129.580971
backupJAX00266606,1,129.809947
backupUNC011824780,1,130.348474
backupUNC010803792,1,130.59323
UNC010460512,1,130.918652
UNC010270413,1,131.737074
JAX00267164,1,132.199455
UNC010608455,1,132.416982
backupUNC010608551,1,132.515233
UNC010272312,1,133.204279
UNC010273790,1,133.541388
UNC010274154,1,133.740276
JAX00009765,1,134.031098
UNC010275555,1,134.51101
UNC010609322,1,134.671994
UNC010278802,1,134.972897
UNC010282954,1,135.542075
UNC010285573,1,135.810178
UNC010461917,1,136.73322
JAX00268541,1,136.737483
JAX00009999,1,137.148324
JAX00268717,1,137.475651
backuprs47520660,1,137.768711
UNC_rs33607958,1,138.044087
backupUNC010611519,1,138.382969
JAX00010099,1,138.469911
JAX00010121,1,138.78033
UNC010291816,1,138.96776
UNC011881810,1,139.332942
backupJAX00269153,1,139.47883
UNC010292027,1,140.294459
UNC012331510,1,140.526631
backupUNC011891368,1,140.83475
UNC010617990,1,141.136539
UNC010292970,1,141.488257
backupUNC011898258,1,141.664598
backupUNC010618201,1,142.002453
UNC010295757,1,142.222344
UNC010296421,1,142.479145
UNC010808822,1,142.711807
UNC010297799,1,143.149795
UNC010621409,1,144.102708
UNC010463165,1,144.549292
UNC010300060,1,144.629784
UNC010984546,1,144.976928
backupUNC010301903,1,145.394499
JAX00010652,1,145.926918
UNC_rs32124917,1,146.576544
UNC010307063,1,146.873639
backupUNC010623723,1,147.4289
backupUNC010312588,1,148.982871
UNC010313115,1,149.239471
UNC010313174,1,149.553681
UNC010313299,1,149.892638
UNC010313917,1,150.829543
backupUNC010628673,1,151.111612
JAX00271347,1,151.229567
JAX00271510,1,151.921167
UNC010317552,1,152.348058
UNC010829068,1,152.607682
backupUNC010318876,1,152.670078
backupJAX00271975,1,153.523536
backupUNC012255208,1,153.65151
backupJAX00272176,1,154.527808
UNC010465120,1,154.868088
UNC010629297,1,155.192594
backupUNC010629680,1,155.879951
UNC010630474,1,155.973289
UNC010321756,1,156.24831
UNC010905835,1,157.67291
UNC010325547,1,158.012703
UNC010836178,1,158.366275
UNC010636744,1,158.744487
JAX00273181,1,159.037725
backupUNC010326580,1,159.70496
UNC_rs32791096,1,160.147562
UNC010637850,1,160.645419
JAX00273510,1,160.737074
JAX00273577,1,161.059193
JAX00273701,1,161.616614
UNC010331745,1,161.991124
UNC010332173,1,162.381325
UNC012380738,1,162.62128
UNC010332330,1,162.932965
JAX00274026,1,163.191387
JAX00011963,1,163.451543
backupUNC010837286,1,163.687258
JAX00011986,1,163.793786
backupUNC012268343,1,164.074392
backupUNC012010690,1,164.287756
backupJAX00012065,1,164.815373
backupUNC012018069,1,165.083234
JAX00274503,1,165.369711
backupUNC012020959,1,165.403409
UNC010333272,1,165.602275
backuprs32565732,1,165.830794
JAX00012213,1,166.799244
UNC012035201,1,167.196163
backupUNC012208248,1,167.42452
UNC010639880,1,167.661129
backupUNC010333562,1,168.159128
UNC010337609,1,168.631066
backupUNC010343297,1,169.276774
backupJAX00012423,1,169.586241
UNC010346837,1,169.691951
UNC010353604,1,170.441536
backupUNC010358913,1,171.034414
UNC010361641,1,171.413777
backupUNC010646654,1,172.353355
backupUNC010370373,1,172.640414
UNC010647417,1,173.142554
JAX00276610,1,173.645553
UNC010380537,1,173.961321
UNC010383677,1,174.282054
UNC010390757,1,174.993539
UNC010391819,1,175.107567
UNC010396152,1,175.615544
backupUNC010397300,1,175.885848
UNC010398263,1,176.136286
JAX00277373,1,176.724068
UNC010401117,1,177.235011
JAX00012996,1,177.23551
backupJAX00277549,1,177.47482
UNC010659703,1,177.840397
backupUNC010403815,1,178.072722
JAX00277792,1,178.673053
JAX00277795,1,178.688514
JAX00013153,1,179.323984
backupUNC010408998,1,179.868665
JAX00013215,1,180.13678
UNC010409945,1,180.239782
JAX00013222,1,180.247285
backupUNC010665455,1,180.628159
UNC010667356,1,181.065821
backupUNC010667738,1,181.168722
backupUNC010861440,1,181.537569
backupUNC010671431,1,182.331386
backupUNC012104434,1,182.659457
UNC010411487,1,183.550518
UNC010411561,1,183.577007
backupUNC010412660,1,183.949127
JAX00279019,1,184.557995
UNC010414123,1,185.073154
JAX00279191,1,185.276696
UNC_rs31181413,1,185.862034
backupJAX00013638,1,186.29429
JAX00013660,1,186.585743
UNC010674652,1,187.174799
UNC010868145,1,187.433827
UNC010425514,1,187.584609
JAX00013760,1,187.919386
UNC010426497,1,188.080287
UNC010427659,1,188.622123
UNC010868925,1,189.214286
UNC010429345,1,189.346007
UNC010430525,1,189.815148
backuprs33042623,1,190.083705
UNC010432535,1,191.116186
UNC010475128,1,191.601182
JAX00014050,1,191.786714
backuprs32282252,1,192.177572
JAX00014139,1,192.967389
UNC010872195,1,193.271985
UNC010680647,1,193.708959
UNC010680950,1,193.778845
UNC010873548,1,194.419062
JAX00014283,1,194.886567
backupUNC020000070,2,3.164247
JAX00090716,2,4.248664
UNC020003180,2,4.439201
backupUNC020005207,2,5.452056
backupJAX00482470,2,5.594388
UNC020362379,2,5.965435
JAX00090857,2,6.127882
backupJAX00482585,2,6.4339
backupUNC020820163,2,6.749201
UNC020822186,2,7.033827
UNC020006684,2,7.375358
JAX00482758,2,7.730311
UNC020363105,2,8.148141
UNC020363465,2,8.563989
UNC020363748,2,8.88907
UNC020006990,2,9.355735
backupUNC020365091,2,9.554469
UNC020007086,2,9.844256
JAX00091167,2,10.310253
backupUNC020008953,2,11.009366
JAX00483439,2,11.765138
JAX00483492,2,12.053017
backupJAX00483666,2,13.191229
JAX00091402,2,13.436218
backupJAX00215642,2,13.714945
JAX00483759,2,13.720562
JAX00091495,2,14.654877
backupJAX00483912,2,14.96483
JAX00091537,2,15.223708
backupJAX00091546,2,15.341784
JAX00483956,2,15.446699
backupUNC020897141,2,15.829122
UNC020366095,2,16.142321
backupJAX00215705,2,16.450126
JAX00091646,2,16.683973
JAX00484075,2,16.684322
JAX00484105,2,17.015454
backupJAX00484170,2,17.568726
backupUNC020914924,2,17.856021
UNC020366382,2,18.669003
UNC020366395,2,18.690019
UNC020367883,2,19.239481
UNC020369170,2,19.798271
UNC020012706,2,20.727977
UNC020012740,2,20.975044
UNC020373923,2,21.236295
JAX00091986,2,21.240502
backupJAX00484910,2,21.556447
backupUNC020376267,2,21.793571
UNC020377886,2,22.191274
backupUNC020378928,2,22.578658
UNC_rs49560334,2,22.694103
JAX00485083,2,22.694917
backupJAX00485143,2,23.442194
backupUNC020379988,2,24.135546
JAX00092202,2,24.245081
backupUNC020965194,2,24.738503
JAX00092279,2,25.284875
UNC020970564,2,25.491914
JAX00485514,2,25.649555
backupUNC020013428,2,26.139174
backupUNC020014032,2,26.373151
UNC020014453,2,27.062175
backupUNC020981848,2,27.217976
JAX00485829,2,27.232305
UNC020015197,2,27.637982
JAX00092505,2,28.289138
UNC020991469,2,28.349293
backupUNC020016944,2,28.893523
JAX00215989,2,28.925269
UNC020017461,2,29.399648
backupUNC020017828,2,29.754013
JAX00486379,2,29.931616
UNC020385092,2,30.810094
UNC021010863,2,31.251256
JAX00092768,2,31.797515
UNC021013288,2,32.234808
backupUNC021869680,2,32.769823
JAX00486934,2,34.056208
UNC020389099,2,34.613106
JAX00487018,2,34.658977
JAX00487098,2,35.386812
backupJAX00093057,2,35.644371
UNC020019262,2,36.213441
UNC020019348,2,36.453946
UNC020019651,2,37.549128
backupUNC021038862,2,38.014637
UNC020306239,2,38.307994
UNC020020374,2,38.615619
UNC020306317,2,38.973156
UNC020021506,2,40.052422
UNC020306643,2,40.747796
JAX00216253,2,41.016855
UNC020028580,2,41.870701
UNC020032159,2,42.66947
UNC020035088,2,43.643815
UNC020307473,2,44.235715
UNC020036328,2,44.307084
UNC020307573,2,45.033206
JAX00093867,2,46.603861
UNC020307912,2,46.700999
UNC020042201,2,47.072617
backupUNC020392414,2,47.491402
backupUNC020044311,2,47.999477
UNC020393325,2,48.371619
JAX00094009,2,48.481792
UNC020338205,2,48.751662
backupUNC020046155,2,49.059884
backupUNC020046752,2,49.575148
backupJAX00094100,2,49.678338
JAX00094103,2,49.705311
UNC020049909,2,50.373627
UNC020050715,2,50.738903
JAX00489287,2,51.319542
UNC020060188,2,51.73269
backupUNC020309212,2,51.867083
JAX00489448,2,52.21927
UNC020066636,2,53.242334
backupUNC020067801,2,53.714951
UNC021811226,2,54.079088
UNC020069401,2,54.438774
UNC020309923,2,54.901449
JAX00489934,2,55.091914
backupUNC020074414,2,56.461346
JAX00490136,2,56.67765
UNC020076909,2,57.385681
UNC020076963,2,57.658939
UNC020395186,2,58.662484
UNC_rs28042522,2,59.19215
backupUNC020080085,2,59.866851
UNC020395307,2,60.31553
backupUNC020082225,2,60.802296
UNC020311055,2,61.116083
JAX00094995,2,61.687788
JAX00094996,2,61.688202
JAX00095051,2,62.435087
UNC020395654,2,62.605131
JAX00491137,2,63.092613
backupUNC021167059,2,63.39415
JAX00491197,2,63.404956
JAX00095128,2,63.485692
UNC020085719,2,63.90677
JAX00095208,2,64.550814
UNC020086184,2,64.740771
backupUNC020086545,2,65.139084
UNC020566977,2,65.550158
UNC020397504,2,65.805814
UNC020397688,2,65.936032
UNC020087824,2,66.258021
JAX00491706,2,66.294247
UNC020089575,2,66.925342
backupUNC021191747,2,67.175112
backupUNC020090527,2,67.374594
UNC020091694,2,67.745241
backupUNC020093183,2,68.557594
backupUNC021762462,2,68.714891
UNC020093982,2,68.945313
UNC020094649,2,69.228719
UNC020623700,2,69.645012
JAX00095623,2,70.082637
UNC020095069,2,70.570989
UNC020401934,2,70.916445
backupJAX00095716,2,71.359267
UNC020096714,2,71.710115
UNC020097135,2,72.061147
JAX00492910,2,72.222683
JAX00492978,2,72.665044
backupUNC021228376,2,72.977314
backupJAX00493053,2,73.286538
UNC020412628,2,73.543209
JAX00493136,2,73.886814
UNC020097695,2,74.251702
UNC020097804,2,74.292392
backupUNC020098420,2,74.952171
UNC020099315,2,75.56244
UNC020412884,2,75.909682
JAX00096092,2,76.391217
JAX00096117,2,76.710818
backupUNC021254518,2,76.841732
UNC020103640,2,77.364192
JAX00493892,2,77.56641
backupUNC021817853,2,78.352549
UNC020313481,2,78.651477
backupUNC020104494,2,78.946101
UNC020413176,2,79.350701
UNC021271954,2,79.646539
backupUNC020413615,2,79.794952
UNC020313672,2,80.148968
UNC021821604,2,80.270146
JAX00096419,2,80.731655
UNC020416650,2,81.333614
JAX00096463,2,81.335288
backupJAX00494665,2,81.734358
backupUNC020418223,2,82.04708
UNC020418285,2,82.097186
UNC021823989,2,82.545312
backupUNC021279593,2,82.853038
JAX00096578,2,82.858975
UNC021280259,2,83.20104
UNC020418786,2,83.413222
JAX00494952,2,83.833627
UNC020420402,2,83.880427
backupUNC020423536,2,84.449842
UNC020423988,2,84.701151
JAX00495218,2,85.200291
JAX00495368,2,85.972559
JAX00096850,2,86.544046
backupUNC020432434,2,87.135068
JAX00096909,2,87.344575
backupUNC020433438,2,87.395643
UNC020573419,2,87.974692
JAX00097025,2,88.904298
JAX00495838,2,89.086964
UNC020441894,2,89.537085
UNC020442492,2,89.912614
JAX00097120,2,90.293089
UNC020442578,2,90.47935
UNC020443364,2,91.12758
backupUNC020444088,2,91.601751
UNC021292772,2,91.743072
UNC020445539,2,92.415016
JAX00496412,2,92.790015
UNC020446908,2,92.883144
JAX00097346,2,93.362628
UNC020108301,2,93.560044
UNC020448956,2,94.030822
JAX00496857,2,94.368467
JAX00496926,2,94.738625
JAX00097541,2,96.023617
backupUNC020450295,2,96.248976
backupUNC020580882,2,96.757794
UNC020114284,2,96.842226
backupUNC020115641,2,97.146919
backupUNC020116951,2,97.536866
UNC020451596,2,97.823967
backupUNC021331957,2,98.29621
UNC020117511,2,98.714519
JAX00497521,2,99.12148
backupUNC020117657,2,99.256036
backupUNC020119223,2,99.486891
backupUNC020120299,2,99.879211
UNC020122133,2,100.192079
backupUNC020586289,2,100.809065
UNC020459944,2,101.386616
UNC020469261,2,102.494832
UNC020126999,2,102.937578
UNC020127485,2,103.358787
JAX00498409,2,103.877838
UNC020472923,2,104.10415
backupJAX00098146,2,104.470657
backupUNC020473871,2,104.576554
UNC020130832,2,104.997674
UNC020131505,2,105.20934
backupUNC020131715,2,105.602304
UNC020131877,2,106.035673
backupUNC020132005,2,106.084401
UNC020133473,2,106.936271
UNC020133662,2,107.068561
backupUNC020478744,2,107.555609
UNC020480927,2,108.355071
UNC020481151,2,108.463591
JAX00499392,2,108.772629
backupUNC020481320,2,109.214703
backupUNC020481462,2,109.523816
backupUNC020317258,2,109.722388
UNC020481964,2,110.013068
UNC020317359,2,110.412951
UNC020592859,2,111.211411
UNC020137208,2,111.752248
UNC020138994,2,112.051141
backupUNC020139462,2,112.476104
UNC020482506,2,113.240731
UNC020139805,2,113.782183
JAX00098860,2,114.09994
UNC020485310,2,114.216849
UNC020631866,2,114.768791
UNC020140262,2,114.796919
JAX00098956,2,115.368751
JAX00098959,2,115.411199
UNC020487461,2,115.862981
UNC020142980,2,116.150292
JAX00099038,2,116.476715
UNC020318395,2,116.817974
backupUNC020488522,2,117.725418
UNC020145783,2,118.053144
UNC020489820,2,118.308718
backupUNC020740025,2,118.49319
UNC020150592,2,118.782041
UNC020151798,2,118.995414
UNC020155960,2,119.636374
backupUNC020158612,2,120.058831
backupUNC020159603,2,120.18181
JAX00501443,2,120.512941
UNC020165479,2,120.981444
UNC020169222,2,121.615083
backupUNC020492847,2,121.707423
UNC020320268,2,122.163333
UNC020174288,2,122.399975
UNC021417550,2,123.02913
UNC020183029,2,123.577317
backupJAX00099584,2,123.799653
UNC020185566,2,124.227533
UNC020185672,2,124.649567
UNC020185825,2,124.814227
UNC020186170,2,125.243955
JAX00218047,2,125.44055
UNC020352014,2,125.803166
UNC020187223,2,126.051028
backupJAX00099820,2,126.930973
UNC020187887,2,127.359499
UNC020188428,2,127.5128
UNC020189674,2,128.178296
UNC020765338,2,128.517229
UNC020634939,2,128.81595
backupUNC020191297,2,129.069981
JAX00503166,2,129.295242
JAX00503167,2,129.295438
backupUNC020192565,2,129.607714
JAX00503338,2,129.818264
JAX00100059,2,130.127112
backupUNC020646120,2,130.803634
JAX00100110,2,130.806574
backupJAX00503740,2,131.189555
backupUNC020195558,2,131.493602
UNC020195891,2,131.796712
UNC020196475,2,132.034866
backupUNC021453120,2,132.21999
UNC020198084,2,132.596476
UNC020198867,2,132.905301
backupUNC020199629,2,133.39051
UNC020199990,2,133.802804
JAX00504321,2,133.806958
backupUNC021467346,2,134.091105
UNC020201653,2,134.462008
backupJAX00504472,2,134.74339
JAX00100458,2,135.454502
UNC021476603,2,135.566812
UNC021478196,2,135.851153
backupJAX00504771,2,136.362959
backuprs27256987,2,136.513742
JAX00504837,2,136.844374
UNC020204805,2,137.18473
UNC020205216,2,137.552285
UNC021491922,2,137.841021
backupUNC020206147,2,138.219668
UNC021836320,2,138.500017
backupUNC021894033,2,139.22703
UNC021507726,2,139.931173
JAX00100795,2,139.940553
UNC_rs32858578,2,140.090895
JAX00100825,2,140.34249
JAX00505486,2,141.206031
backupUNC021779979,2,141.224276
UNC021519948,2,141.534346
UNC020499256,2,142.036552
UNC020499561,2,142.167629
JAX00100983,2,142.447785
backupUNC020501072,2,142.896755
backupUNC020207733,2,143.911181
backupUNC020504535,2,144.541653
UNC020215912,2,144.866409
UNC020504947,2,145.478803
UNC020223234,2,145.711519
backupJAX00506377,2,146.134511
backupJAX00506461,2,146.708701
backupUNC020514260,2,147.145729
UNC020224987,2,147.562175
backupUNC020520144,2,147.792695
backupJAX00506861,2,148.751217
JAX00506866,2,148.753356
backupJAX00507052,2,149.637022
backupUNC021849095,2,150.026983
JAX00101561,2,150.206669
JAX00101596,2,150.658902
UNC020227334,2,150.818471
backupUNC020228107,2,151.215149
UNC020228210,2,151.375256
backupUNC021572408,2,152.033989
UNC020230950,2,152.699661
UNC021575191,2,152.898252
UNC020533931,2,153.49313
UNC020538069,2,154.006866
UNC020233372,2,154.14447
JAX00508130,2,155.235028
UNC020241827,2,155.849505
backuprs49133949,2,155.946829
UNC020326037,2,156.378136
JAX00102048,2,156.689973
UNC020248157,2,157.015398
UNC020543576,2,157.409147
backupUNC020249837,2,158.247527
backupUNC020544454,2,158.275957
UNC021898190,2,158.578302
UNC020251618,2,159.04465
backupUNC020253086,2,159.421878
UNC020545758,2,159.624662
UNC020254152,2,159.820975
UNC020613604,2,160.107801
JAX00102326,2,160.416911
UNC020256510,2,160.723842
UNC020258946,2,161.80294
backupUNC020547744,2,161.996715
backupUNC020548787,2,162.538684
UNC020266358,2,163.216671
backupUNC020550169,2,163.822596
backupJAX00510277,2,164.195434
UNC021859649,2,164.670658
backupUNC020551784,2,165.212166
backupUNC020552380,2,165.746207
UNC020328220,2,165.797892
backupUNC020275309,2,166.101093
UNC020275888,2,166.398477
UNC020278146,2,167.191439
backupJAX00510901,2,167.342926
backuprs27328830,2,167.827048
backupJAX00102906,2,168.148672
backupUNC020280159,2,168.432839
UNC020328923,2,168.584013
UNC020281170,2,168.801876
UNC020360345,2,169.240714
backupUNC020284106,2,169.536146
UNC020284970,2,169.770191
UNC020285948,2,170.218576
UNC021860090,2,170.538949
backupUNC020554460,2,170.586129
JAX00103117,2,170.930181
UNC020329635,2,171.559132
UNC020554720,2,171.775032
UNC020655905,2,172.246596
JAX00512143,2,173.549919
backupUNC020656656,2,173.639612
backupUNC020295237,2,174.079669
UNC020296472,2,174.621804
UNC020296673,2,174.864238
UNC021713399,2,177.859824
JAX00512441,2,178.159173
UNC020296917,2,178.45676
backupUNC020555541,2,179.006119
UNC020555613,2,179.08578
UNC020300314,2,179.678021
UNC020776755,2,179.966445
UNC020330961,2,180.808022
JAX00103653,2,180.877214
UNC021736650,2,181.56725
UNC021737347,2,181.812247
backupUNC030729939,3,3.163885
JAX00103749,3,3.199339
backupUNC030360530,3,3.785419
JAX00103806,3,3.950591
UNC030360580,3,4.231533
JAX00513945,3,4.64887
backupJAX00513949,3,4.663447
backupUNC030360676,3,4.906679
backupJAX00103920,3,5.514696
JAX00103952,3,5.921871
JAX00103978,3,6.285268
JAX00514198,3,6.290396
backupUNC030749226,3,6.430542
backupUNC030749504,3,6.72155
UNC030749946,3,7.18445
backupUNC030364690,3,7.484773
UNC030365730,3,7.787192
JAX00514502,3,8.268639
backupUNC030367437,3,8.98154
UNC030368092,3,9.291006
UNC030764068,3,9.300536
backupUNC030001590,3,9.616789
JAX00104265,3,10.128273
JAX00104278,3,10.312261
UNC030330798,3,10.755757
JAX00514966,3,10.888331
backupUNC030002827,3,11.119314
JAX00515135,3,12.214479
backupJAX00515140,3,12.229171
backuprs51224163,3,12.49988
UNC030008092,3,12.638885
backupJAX00515325,3,13.57678
backupJAX00104542,3,13.839171
JAX00104582,3,14.37812
UNC030371176,3,14.569143
JAX00104617,3,14.841429
UNC030810390,3,15.020063
JAX00104631,3,15.02194
backupUNC030373723,3,15.567879
backupUNC030374091,3,15.867654
backupUNC030376140,3,16.267187
JAX00515723,3,16.490179
backupUNC030014678,3,16.752805
JAX00104749,3,16.787034
UNC030015269,3,17.006652
JAX00104806,3,17.540234
backupUNC030831745,3,18.042937
backupUNC030572221,3,18.649849
JAX00516025,3,18.708202
backupUNC030018403,3,19.666574
backupUNC030018875,3,20.458054
UNC030019307,3,20.679416
backupJAX00516508,3,21.420352
backupJAX00105129,3,21.866262
UNC030575298,3,22.153652
JAX00516653,3,22.352687
backupUNC030870967,3,22.891613
JAX00105209,3,22.918857
UNC031787933,3,23.390166
backupUNC030878520,3,23.794517
JAX00516914,3,23.865185
UNC031789615,3,24.112017
backupUNC030881249,3,24.592951
backupJAX00105375,3,25.135137
UNC030884413,3,25.794547
